# Only useful for importing to FontForge encoding slot! 

0x00  0x00A0  # NO-BREAK SPACE

# Thai consonants

0x01  0x0E01  # THAI CHARACTER KO KAI
0x02  0x0E02  # THAI CHARACTER KHO KHAI
0x03  0x0E03  # THAI CHARACTER KHO KHUAT
0x04  0x0E04  # THAI CHARACTER KHO KHWAI
0x05  0x0E05  # THAI CHARACTER KHO KHON
0x06  0x0E06  # THAI CHARACTER KHO RAKHANG
0x07  0x0E07  # THAI CHARACTER NGO NGU
0x08  0x0E08  # THAI CHARACTER CHO CHAN
0x09  0x0E09  # THAI CHARACTER CHO CHING
0x0A  0x0E0A  # THAI CHARACTER CHO CHANG
0x0B  0x0E0B  # THAI CHARACTER SO SO
0x0C  0x0E0C  # THAI CHARACTER CHO CHOE
0x0D  0x0E0D  # THAI CHARACTER YO YING
0x0E  0x0E0E  # THAI CHARACTER DO CHADA
0x0F  0x0E0F  # THAI CHARACTER TO PATAK
0x10  0x0E10  # THAI CHARACTER THO THAN
0x11  0x0E11  # THAI CHARACTER THO NANGMONTHO
0x12  0x0E12  # THAI CHARACTER THO PHUTHAO
0x13  0x0E13  # THAI CHARACTER NO NEN
0x14  0x0E14  # THAI CHARACTER DO DEK
0x15  0x0E15  # THAI CHARACTER TO TAO
0x16  0x0E16  # THAI CHARACTER THO THUNG
0x17  0x0E17  # THAI CHARACTER THO THAHAN
0x18  0x0E18  # THAI CHARACTER THO THONG
0x19  0x0E19  # THAI CHARACTER NO NU
0x1A  0x0E1A  # THAI CHARACTER BO BAIMAI
0x1B  0x0E1B  # THAI CHARACTER PO PLA
0x1C  0x0E1C  # THAI CHARACTER PHO PHUNG
0x1D  0x0E1D  # THAI CHARACTER FO FA
0x1E  0x0E1E  # THAI CHARACTER PHO PHAN
0x1F  0x0E1F  # THAI CHARACTER FO FAN
0x20  0x0E20  # THAI CHARACTER PHO SAMPHAO
0x21  0x0E21  # THAI CHARACTER MO MA
0x22  0x0E22  # THAI CHARACTER YO YAK
0x23  0x0E23  # THAI CHARACTER RO RUA
0x24  0x0E24  # THAI CHARACTER RU
0x25  0x0E25  # THAI CHARACTER LO LING
0x26  0x0E26  # THAI CHARACTER LU
0x27  0x0E27  # THAI CHARACTER WO WAEN
0x28  0x0E28  # THAI CHARACTER SO SALA
0x29  0x0E29  # THAI CHARACTER SO RUSI
0x2A  0x0E2A  # THAI CHARACTER SO SUA
0x2B  0x0E2B  # THAI CHARACTER HO HIP
0x2C  0x0E2C  # THAI CHARACTER LO CHULA
0x2D  0x0E2D  # THAI CHARACTER O ANG
0x2E  0x0E2E  # THAI CHARACTER HO NOKHUK

0x2F  0x0E2F  # THAI CHARACTER PAIYANNOI
0x30  0x0E30  # THAI CHARACTER SARA A

# Thai above vowels
0x31  0x0E31  # THAI CHARACTER MAI HAN-AKAT
0x32  0x0E32  # THAI CHARACTER SARA AA
0x33  0x0E33  # THAI CHARACTER SARA AM
0x34  0x0E34  # THAI CHARACTER SARA I
0x35  0x0E35  # THAI CHARACTER SARA II
0x36  0x0E36  # THAI CHARACTER SARA UE
0x37  0x0E37  # THAI CHARACTER SARA UEE

# Thai below vowels
0x38  0x0E38  # THAI CHARACTER SARA U
0x39  0x0E39  # THAI CHARACTER SARA UU
0x3A  0x0E3A  # THAI CHARACTER PHINTHU

0x3F  0x0E3F  # THAI CURRENCY SYMBOL BAHT

# Thai front vowels
0x40  0x0E40  # THAI CHARACTER SARA E
0x41  0x0E41  # THAI CHARACTER SARA AE
0x42  0x0E42  # THAI CHARACTER SARA O
0x43  0x0E43  # THAI CHARACTER SARA AI MAIMUAN
0x44  0x0E44  # THAI CHARACTER SARA AI MAIMALAI

0x45  0x0E45  # THAI CHARACTER LAKKHANGYAO
0x46  0x0E46  # THAI CHARACTER MAIYAMOK
0x47  0x0E47  # THAI CHARACTER MAITAIKHU

# Thai tones and diacritics
0x48  0x0E48  # THAI CHARACTER MAI EK
0x49  0x0E49  # THAI CHARACTER MAI THO
0x4A  0x0E4A  # THAI CHARACTER MAI TRI
0x4B  0x0E4B  # THAI CHARACTER MAI CHATTAWA
0x4C  0x0E4C  # THAI CHARACTER THANTHAKHAT
0x4D  0x0E4D  # THAI CHARACTER NIKHAHIT
0x4E  0x0E4E  # THAI CHARACTER YAMAKKAN

0x4F  0x0E4F  # THAI CHARACTER FONGMAN

# Thai digits
0x50  0x0E50  # THAI DIGIT ZERO
0x51  0x0E51  # THAI DIGIT ONE
0x52  0x0E52  # THAI DIGIT TWO
0x53  0x0E53  # THAI DIGIT THREE
0x54  0x0E54  # THAI DIGIT FOUR
0x55  0x0E55  # THAI DIGIT FIVE
0x56  0x0E56  # THAI DIGIT SIX
0x57  0x0E57  # THAI DIGIT SEVEN
0x58  0x0E58  # THAI DIGIT EIGHT
0x59  0x0E59  # THAI DIGIT NINE

0x5A  0x0E5A  # THAI CHARACTER ANGKHANKHU
0x5B  0x0E5B  # THAI CHARACTER KHOMUT

####################
# Thai additionals #
####################

# Some useful spacing characters
0x5C  0x25CC  # DOTTED CIRCLE
0x5D  0x200B  # ZERO WIDTH SPACE
0x5E  0x2060  # WORD JOINER # for Unicode 3.2 and later

# Remove descender from base (RD)
0x60  0xF89A  # THAI CHARACTER YO YING, desc-less form
0x61  0xF89E  # THAI CHARACTER THO THAN, desc-less form

## Thai ligatures
0x62  0xF881  # uni0E24 + uni0E45  # THAI CHARACTER RU, ligature form
0x63  0xF882  # uni0E26 + uni0E45  # THAI CHARACTER LU, ligature form
0x64  0xF880  # uni0E4F + uni0E48 + uni0E48 # THAI CHARACTER FONGMAN FANNUU

## Shift combining-mark down (SD)
0x66  0xF89B  # THAI CHARACTER SARA U, low position
0x67  0xF89C  # THAI CHARACTER SARA UU, low position
0x68  0xF89D  # THAI CHARACTER PHINTHU, low position

0x69  0xF88B  # THAI CHARACTER MAI EK, low position
0x6A  0xF88E  # THAI CHARACTER MAI THO, low position
0x6B  0xF891  # THAI CHARACTER MAI TRI, low position
0x6C  0xF894  # THAI CHARACTER MAI CHATTAWA, low position
0x6D  0xF897  # THAI CHARACTER THANTHAKHAT, low position

## Shift combining-mark down-left (SDL)
0x6F  0xF88C  # THAI CHARACTER MAI EK, low left position
0x70  0xF88F  # THAI CHARACTER MAI THO, low left position
0x71  0xF892  # THAI CHARACTER MAI TRI, low left position
0x72  0xF895  # THAI CHARACTER MAI CHATTAWA, low left position
0x73  0xF898  # THAI CHARACTER THANTHAKHAT, low left position

## Shift combining-mark left (SL)
0x75  0xF884 # THAI CHARACTER MAI HAN-AKAT, left position
0x76  0xF885 # THAI CHARACTER SARA I, left position
0x77  0xF886 # THAI CHARACTER SARA II, left position
0x78  0xF887 # THAI CHARACTER SARA UE, left position
0x79  0xF888 # THAI CHARACTER SARA UEE, left position
0x7A  0xF889 # THAI CHARACTER MAITAIKHU, left position

0x7B  0xF88A # THAI CHARACTER MAI EK, left position
0x7C  0xF88D # THAI CHARACTER MAI THO, left position
0x7D  0xF890 # THAI CHARACTER MAI TRI, left position
0x7E  0xF893 # THAI CHARACTER MAI CHATTAWA, left position
0x7F  0xF896 # THAI CHARACTER THANTHAKHAT, left position

0x80  0xF899 # THAI CHARACTER NIKHAHIT, left position


